informal statement,2分api,1分api
"设 $A, B$ 为诺特局部环，$f: A \to B$ 为平坦局部同态。令 $I = \mathfrak{m}_A B$ 为扩环中的扩张理想。考虑商环（纤维环）$B/I$ 以及自然商同态 $q: B \to B/I$。
由于 $f$ 是局部同态，即 $f(\mathfrak{m}_A) \subseteq \mathfrak{m}_B$，因此 $I \subseteq \mathfrak{m}_B$，且商环 $B/I$ 仍为非平凡局部环。
容易验证，$B/I$ 的极大理想即为 $\mathfrak{m}_B$ 在商映射下的像，即 $\overline{\mathfrak{m}_B} = \mathfrak{m}_B / I$。","IsLocalRing.local_hom_TFAE, Ideal.Quotient.mk",""
"设 $(A, \mathfrak{m}_A)$ 和 $(B, \mathfrak{m}_B)$ 为诺特局部环，$f: A \to B$ 为平坦局部同态。由局部同态的定义知 $f^{-1}(\mathfrak{m}_B) = \mathfrak{m}_A$。","Ideal.LiesOver, IsLocalRing.local_hom_TFAE",""
"对于高度为 $h$ 的理想 $I$，存在一个子理想 $J \subseteq I$，使得 $J$ 由至多 $h$ 个元素生成，且 $J$ 的高度至少为 $h$（即 $\operatorname{ht}(J) \ge \operatorname{ht}(I)$）。","exists_spanRank_le_and_le_height_of_le_height",""
"设 $I, J$ 为环 $R$ 中的理想，且满足 $I \subseteq J$。则成立：
$$ \operatorname{ht}(I) \le \operatorname{ht}(J) $$","Ideal.height_mono",""
"","",""
"在诺特环中，极小素理想的高度为 0。","Ideal.primeHeight_eq_zero_iff","Ideal.height_eq_primeHeight, nonpos_iff_eq_zero"
"设 $R$ 为交换诺特环，$I$ 为由 $n$ 个元素生成的理想。若素理想 $\mathfrak{p}$ 是包含 $I$ 的极小素理想之一（即 $\mathfrak{p} \in \operatorname{Min}(I)$），利用局部化性质：将环 $R$ 在 $\mathfrak{p}$ 处局部化得到 $R_{\mathfrak{p}}$。此时 $\mathfrak{p}R_{\mathfrak{p}}$ 成为局部环的极大理想，且其高度保持不变。这允许我们假设 $R$ 是局部环且 $\mathfrak{p}$ 是其极大理想。","Localization.AtPrime, IsLocalization.height_comap",""
"素理想 $\mathfrak{p}$ 的高度定义为素谱 $\operatorname{Spec}(R)$ 中以 $\mathfrak{p}$ 为顶点的所有下降链长度的上确界。
在偏序集（Poset）理论中，一个元素的高度 $h(x)$ 满足 $h(x) \le n \iff \forall y < x, h(y) < n$。","","Ideal.height_eq_primeHeight, Ideal.primeHeight, Order.height_le_coe_iff, PrimeSpectrum.equivSubtype, Equiv.forall_congr_left, Subtype.forall"
"理想高度与素谱高度的等价","Ideal.height_eq_primeHeight",""
"素谱与素理想集合的等价","Ideal.primeHeight",""
"设 $I, J$ 是环 $R$ 的理想，满足 $I \subseteq J$，且 $J$ 是一个有限高的素理想。若：
$$\text{ht}(J) \le \text{ht}(I)$$
则 $J$ 是包含 $I$ 的极小素理想（即 $J \in \text{minPrimes}(I)$）。","Ideal.mem_minimalPrimes_of_height_eq",""
"对于满射映射，总能从定义域中选出一个子集，使得映射在该子集上是单射且像不变。由此得到一个集合 $u \subseteq s$，满足 $f$ 在 $u$ 上单射且 $f(u) = t$。","","Set.range, Set.InjOn,  Set.image"
"若映射单射且像有限，则原像集有限","Finite.of_finite_image",""
"设 $f: R \to S$ 是环同态，$I$ 是 $R$ 的理想，$K$ 是 $S$ 的理想。则：
$$f(I)S \le K \iff I \le f^{-1}(K)$$","Ideal.map_le_iff_le_comap",""
"设 $S$ 是 $R$-代数。对于理想 $p \subseteq R$ 和 $P \subseteq S$，称 **$P$ 位于 $p$ 之上**（$P$ lies over $p$），是指 $p$ 是 $P$ 在 $R$ 中的原像：
$$p = f^{-1}(P)$$
其中 $f: R \to S$ 是代数结构映射。","Ideal.LiesOver.over",""
"收缩映射的单调性","Ideal.comap_mono",""
